"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"137","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","5","35","Found 'DU'-anomaly for variable 'check' (lines '35'-'74').","Controversial Rules","DataflowAnomalyAnalysis"
"138","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","5","35","Found 'DU'-anomaly for variable 'check' (lines '35'-'74').","Controversial Rules","DataflowAnomalyAnalysis"
"139","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","5","36","Found 'DU'-anomaly for variable 'query' (lines '36'-'74').","Controversial Rules","DataflowAnomalyAnalysis"
"140","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","5","36","Found 'DU'-anomaly for variable 'query' (lines '36'-'74').","Controversial Rules","DataflowAnomalyAnalysis"
"141","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","3","36","Local variable 'query' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"142","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","5","37","Found 'DU'-anomaly for variable 'mapper' (lines '37'-'74').","Controversial Rules","DataflowAnomalyAnalysis"
"143","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","5","37","Found 'DU'-anomaly for variable 'mapper' (lines '37'-'74').","Controversial Rules","DataflowAnomalyAnalysis"
"144","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","3","37","Local variable 'mapper' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"145","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","3","39","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"146","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","3","48","Avoid printStackTrace(); use a logger call instead.","Java Logging Rules","AvoidPrintStackTrace"
"147","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","2","52","System.out.print is used","Java Logging Rules","SystemPrintln"
"148","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","3","56","Local variable 'userBean1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"149","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","1","57","Avoid using equals() to compare against null","Design Rules","EqualsNull"
"150","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","3","59","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"151","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","3","76","Parameter 'hotelId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"152","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","5","78","Found 'DD'-anomaly for variable 'list' (lines '78'-'79').","Controversial Rules","DataflowAnomalyAnalysis"
"153","com.igate.hbms.dao","src/com/igate/hbms/dao/HbmsDAO.java","5","79","Found 'DD'-anomaly for variable 'list' (lines '79'-'80').","Controversial Rules","DataflowAnomalyAnalysis"
